word,occurrence,percentage,cumulative
de,5090,0.033911,0.033911
zijn,3544,0.023611,0.057522
van,2886,0.019227,0.076749
en,2675,0.017822,0.094571
het,2675,0.017822,0.112393
in,2657,0.017702,0.13009500000000002
een,2593,0.017275,0.14737
op,1635,0.010893,0.158263
voor,1457,0.009707,0.16796999999999998
ik,1408,0.009381,0.17735099999999998
met,1320,0.008794,0.18614499999999998
dat,1293,0.008614,0.194759
je,1258,0.008381,0.20314
te,1236,0.008235,0.21137499999999998
niet,1143,0.007615,0.21899
die,1040,0.006929,0.22591899999999998
hebben,1039,0.006922,0.232841
veel,743,0.00495,0.237791
worden,723,0.004817,0.242608
maar,721,0.004804,0.247412
om,694,0.004624,0.252036
aan,689,0.00459,0.25662599999999997
er,683,0.00455,0.26117599999999996
als,638,0.004251,0.26542699999999997
kunnen,631,0.004204,0.26963099999999995
dit,628,0.004184,0.273815
bij,627,0.004177,0.27799199999999996
gaan,625,0.004164,0.28215599999999996
wat,608,0.004051,0.286207
over,569,0.003791,0.289998
naar,561,0.003738,0.293736
al,559,0.003724,0.29746
ook,557,0.003711,0.301171
nog,538,0.003584,0.304755
zo,486,0.003238,0.307993
ze,484,0.003225,0.311218
dan,478,0.003185,0.314403
of,469,0.003125,0.317528
uit,434,0.002891,0.32041899999999995
we,420,0.002798,0.323217
nu,419,0.002792,0.326009
moeten,418,0.002785,0.328794
willen,410,0.002732,0.331526
deze,389,0.002592,0.33411799999999997
goed,387,0.002578,0.336696
ons,386,0.002572,0.339268
door,382,0.002545,0.34181300000000003
geen,355,0.002365,0.34417800000000004
komen,339,0.002259,0.34643700000000005
weer,334,0.002225,0.348662
zullen,333,0.002219,0.35088100000000005
doen,332,0.002212,0.35309300000000005
wel,329,0.002192,0.3552850000000001
s,327,0.002179,0.35746400000000006
nieuw,325,0.002165,0.35962900000000003
1,323,0.002152,0.361781
mijn,319,0.002125,0.363906
zien,316,0.002105,0.36601100000000003
via,312,0.002079,0.36809000000000003
mens,305,0.002032,0.370122
jaar,297,0.001979,0.372101
n,273,0.001819,0.37392000000000003
na,271,0.001805,0.37572500000000003
maken,262,0.001746,0.37747100000000006
omg,255,0.001699,0.37917000000000006
2,253,0.001686,0.3808560000000001
hier,252,0.001679,0.38253500000000007
hoe,247,0.001646,0.38418100000000005
echt,233,0.001552,0.38573300000000005
één,220,0.001466,0.38719900000000007
0,219,0.001459,0.38865800000000006
dag,219,0.001459,0.39011700000000005
toch,218,0.001452,0.39156900000000006
hij,217,0.001446,0.39301500000000006
tot,216,0.001439,0.3944540000000001
krijgen,213,0.001419,0.3958730000000001
zeggen,211,0.001406,0.3972790000000001
weten,211,0.001406,0.3986850000000001
jullie,206,0.001372,0.4000570000000001
me,199,0.001326,0.4013830000000001
partij,196,0.001306,0.4026890000000001
ander,196,0.001306,0.40399500000000005
3,195,0.001299,0.40529400000000004
dus,188,0.001253,0.40654700000000005
waar,187,0.001246,0.40779300000000007
vinden,186,0.001239,0.40903200000000006
heel,178,0.001186,0.4102180000000001
staan,175,0.001166,0.4113840000000001
tegen,174,0.001159,0.4125430000000001
mee,173,0.001153,0.4136960000000001
fvd,172,0.001146,0.4148420000000001
nederland,169,0.001126,0.4159680000000001
5,168,0.001119,0.4170870000000001
man,168,0.001119,0.4182060000000001
lezen,165,0.001099,0.4193050000000001
eens,163,0.001086,0.42039100000000007
denken,160,0.001066,0.4214570000000001
groot,160,0.001066,0.4225230000000001
mogen,160,0.001066,0.4235890000000001
m,158,0.001053,0.42464200000000013
mooi,157,0.001046,0.4256880000000001
4,156,0.001039,0.42672700000000013
u,155,0.001033,0.42776000000000014
verbieden,155,0.001033,0.42879300000000015
laten,152,0.001013,0.42980600000000013
vandaag,150,0.000999,0.43080500000000016
daar,148,0.000986,0.43179100000000015
jij,148,0.000986,0.43277700000000013
hun,147,0.000979,0.43375600000000014
week,145,0.000966,0.43472200000000016
mij,145,0.000966,0.4356880000000002
kijken,145,0.000966,0.4366540000000002
amp,143,0.000953,0.4376070000000002
onder,143,0.000953,0.43856000000000017
uur,143,0.000953,0.43951300000000015
gewoon,142,0.000946,0.44045900000000016
weg,139,0.000926,0.44138500000000014
8,136,0.000906,0.44229100000000016
blijven,136,0.000906,0.4431970000000002
2023,136,0.000906,0.4441030000000002
wij,135,0.000899,0.4450020000000002
wie,135,0.000899,0.44590100000000016
zitten,135,0.000899,0.44680000000000014
laat,134,0.000893,0.4476930000000001
zich,133,0.000886,0.4485790000000001
tijd,132,0.000879,0.44945800000000014
woof,132,0.000879,0.45033700000000015
alleen,132,0.000879,0.4512160000000002
even,129,0.000859,0.45207500000000017
geven,129,0.000859,0.45293400000000017
6,128,0.000853,0.45378700000000016
af,121,0.000806,0.45459300000000014
haar,117,0.000779,0.4553720000000001
waarom,117,0.000779,0.4561510000000001
t,117,0.000779,0.45693000000000006
iets,115,0.000766,0.45769600000000005
net,115,0.000766,0.45846200000000004
weinig,114,0.00076,0.459222
twee,114,0.00076,0.459982
land,114,0.00076,0.460742
c,113,0.000753,0.461495
kind,113,0.000753,0.462248
ja,112,0.000746,0.462994
eigen,112,0.000746,0.46374000000000004
14,111,0.00074,0.46448000000000006
gt,111,0.00074,0.4652200000000001
juli,111,0.00074,0.4659600000000001
7,109,0.000726,0.4666860000000001
volgen,108,0.00072,0.4674060000000001
ver,108,0.00072,0.4681260000000001
democratie,107,0.000713,0.4688390000000001
terug,107,0.000713,0.46955200000000014
jou,107,0.000713,0.47026500000000016
leven,106,0.000706,0.47097100000000014
iemand,106,0.000706,0.4716770000000001
per,105,0.0007,0.4723770000000001
steeds,103,0.000686,0.4730630000000001
werken,103,0.000686,0.47374900000000014
houden,102,0.00068,0.47442900000000016
altijd,101,0.000673,0.47510200000000014
lang,99,0.00066,0.47576200000000013
liggen,98,0.000653,0.47641500000000014
tweet,96,0.00064,0.4770550000000001
juni,96,0.00064,0.4776950000000001
the,95,0.000633,0.4783280000000001
alles,94,0.000626,0.4789540000000001
tijdens,93,0.00062,0.4795740000000001
telegraaf,93,0.00062,0.4801940000000001
nooit,93,0.00062,0.48081400000000013
zelf,92,0.000613,0.4814270000000001
15,92,0.000613,0.4820400000000001
mm,89,0.000593,0.4826330000000001
want,89,0.000593,0.4832260000000001
10,88,0.000586,0.4838120000000001
werk,87,0.00058,0.4843920000000001
drie,86,0.000573,0.4849650000000001
nl,86,0.000573,0.4855380000000001
keer,85,0.000566,0.4861040000000001
horen,84,0.00056,0.4866640000000001
12,83,0.000553,0.4872170000000001
aflopen,83,0.000553,0.48777000000000015
betalen,82,0.000546,0.48831600000000014
wind,82,0.000546,0.48886200000000013
politiek,82,0.000546,0.4894080000000001
stoppen,82,0.000546,0.4899540000000001
zoeken,82,0.000546,0.4905000000000001
allemaal,82,0.000546,0.4910460000000001
00,81,0.00054,0.4915860000000001
hoog,80,0.000533,0.4921190000000001
nodig,80,0.000533,0.4926520000000001
zonder,80,0.000533,0.4931850000000001
13,80,0.000533,0.4937180000000001
hem,80,0.000533,0.4942510000000001
lekker,80,0.000533,0.4947840000000001
leuk,79,0.000526,0.49531000000000014
20,79,0.000526,0.49583600000000017
open,79,0.000526,0.4963620000000002
30,78,0.00052,0.4968820000000002
nederlands,78,0.00052,0.49740200000000023
vraag,77,0.000513,0.4979150000000002
maand,77,0.000513,0.4984280000000002
geld,76,0.000506,0.4989340000000002
mogelijk,76,0.000506,0.4994400000000002
rusland,76,0.000506,0.4999460000000002
snel,76,0.000506,0.5004520000000002
beginnen,76,0.000506,0.5009580000000002
bijna,75,0.0005,0.5014580000000002
vanaf,74,0.000493,0.5019510000000001
vacature,73,0.000486,0.5024370000000001
iedereen,73,0.000486,0.5029230000000001
kabinet,72,0.00048,0.5034030000000002
elk,72,0.00048,0.5038830000000002
nemen,72,0.00048,0.5043630000000002
volgens,71,0.000473,0.5048360000000002
zoals,71,0.000473,0.5053090000000001
wanneer,71,0.000473,0.5057820000000001
oud,70,0.000466,0.506248
dood,70,0.000466,0.506714
links,70,0.000466,0.50718
vrouw,70,0.000466,0.5076459999999999
km,70,0.000466,0.5081119999999999
helpen,70,0.000466,0.5085779999999999
jong,70,0.000466,0.5090439999999998
elkaar,70,0.000466,0.5095099999999998
boek,70,0.000466,0.5099759999999998
lijken,69,0.00046,0.5104359999999998
tussen,68,0.000453,0.5108889999999998
den,68,0.000453,0.5113419999999999
vol,68,0.000453,0.5117949999999999
i,68,0.000453,0.5122479999999999
lopen,68,0.000453,0.512701
amsterdam,67,0.000446,0.5131469999999999
9,67,0.000446,0.5135929999999999
