word,occurrence,percentage,cumulative
de,5053,0.03369,0.03369
van,2886,0.019242,0.05293199999999999
het,2675,0.017835,0.070767
en,2655,0.017702,0.08846899999999999
in,2654,0.017695,0.106164
een,2642,0.017615,0.123779
is,2000,0.013335,0.137114
op,1635,0.010901,0.148015
voor,1443,0.009621,0.157636
ik,1408,0.009388,0.167024
met,1320,0.008801,0.175825
dat,1293,0.008621,0.184446
je,1258,0.008388,0.192834
te,1157,0.007714,0.200548
niet,1143,0.007621,0.208169
die,1032,0.006881,0.21505
zijn,870,0.005801,0.220851
maar,721,0.004807,0.225658
om,694,0.004627,0.230285
aan,689,0.004594,0.23487899999999998
er,681,0.00454,0.23941899999999997
als,638,0.004254,0.24367299999999997
dit,628,0.004187,0.24785999999999997
bij,618,0.00412,0.25198
wat,606,0.00404,0.25601999999999997
over,569,0.003794,0.259814
naar,560,0.003734,0.263548
ook,557,0.003714,0.267262
nog,538,0.003587,0.270849
meer,494,0.003294,0.274143
zo,486,0.00324,0.27738300000000005
ze,484,0.003227,0.28061
dan,478,0.003187,0.283797
of,469,0.003127,0.286924
uit,434,0.002894,0.289818
we,420,0.0028,0.29261800000000004
nu,419,0.002794,0.29541200000000006
al,398,0.002654,0.29806600000000005
deze,389,0.002594,0.30066000000000004
door,382,0.002547,0.30320700000000006
geen,355,0.002367,0.30557400000000007
s,354,0.00236,0.30793400000000004
weer,334,0.002227,0.310161
wel,329,0.002194,0.312355
kan,320,0.002134,0.314489
mijn,318,0.00212,0.31660900000000003
via,312,0.00208,0.31868900000000006
heeft,311,0.002074,0.3207630000000001
1,311,0.002074,0.3228370000000001
mensen,283,0.001887,0.3247240000000001
hebben,280,0.001867,0.32659100000000013
n,273,0.00182,0.3284110000000001
na,271,0.001807,0.3302180000000001
worden,268,0.001787,0.3320050000000001
heb,267,0.00178,0.3337850000000001
ben,267,0.00178,0.3355650000000001
wordt,259,0.001727,0.3372920000000001
was,255,0.0017,0.33899200000000007
omg,255,0.0017,0.34069200000000005
hier,251,0.001674,0.34236600000000006
moet,247,0.001647,0.34401300000000007
hoe,247,0.001647,0.3456600000000001
jaar,244,0.001627,0.34728700000000007
gaan,240,0.0016,0.34888700000000006
gaat,240,0.0016,0.35048700000000005
2,240,0.0016,0.35208700000000004
wil,234,0.00156,0.35364700000000004
nieuwe,232,0.001547,0.35519400000000007
toch,218,0.001453,0.35664700000000005
tot,216,0.00144,0.35808700000000004
onze,215,0.001433,0.35952000000000006
kunnen,214,0.001427,0.3609470000000001
hij,209,0.001393,0.36234000000000005
echt,209,0.001393,0.36373300000000003
jullie,206,0.001373,0.36510600000000004
0,202,0.001347,0.36645300000000003
me,199,0.001327,0.36778000000000005
3,189,0.00126,0.36904000000000003
dus,188,0.001253,0.37029300000000004
zou,186,0.00124,0.37153300000000006
waar,181,0.001207,0.37274000000000007
goed,177,0.00118,0.3739200000000001
veel,176,0.001173,0.37509300000000007
